        x         radice(x)    x^(1/6)       errore  
    __________    _________    ________    __________

         1e-10    0.021544     0.021544    3.4694e-18
    1.1288e-09    0.032268     0.032268    6.9389e-18
    1.2743e-08    0.048329     0.048329    6.9389e-18
    1.4384e-07    0.072385     0.072385    1.3878e-17
    1.6238e-06     0.10841      0.10841    4.1633e-17
     1.833e-05     0.16238      0.16238             0
    0.00020691      0.2432       0.2432    2.7756e-17
     0.0023357     0.36425      0.36425    5.5511e-17
      0.026367     0.54556      0.54556             0
       0.29764     0.81711      0.81711    1.1102e-16
        3.3598      1.2238       1.2238    2.2204e-16
        37.927       1.833        1.833             0
        428.13      2.7453       2.7453    4.4409e-16
        4832.9      4.1118       4.1118    8.8818e-16
         54556      6.1585       6.1585             0
    6.1585e+05      9.2239       9.2239    1.7764e-15
    6.9519e+06      13.815       13.815    1.7764e-15
    7.8476e+07      20.691       20.691    3.5527e-15
    8.8587e+08       30.99        30.99    3.5527e-15
         1e+10      46.416       46.416    7.1054e-15
